Model,Pass@1,Average CR,VLM,F1,F2,F3,F4,F5,Pass@1 (Human),Pass@1 (DL),Pass@1 (CSV),Avg. CR (Human),Avg. CR (DL),Avg. CR (CSV)
Meta-Llama-3.1-70B-Instruct,0.06,0.01,-,0.00,0.37,2.11,2.31,0.53
starcoder2-15b,0.20,0.02,-,3.24,2.41,2.11,4.36,1.58
gpt-4-turbo,0.96,0.55,-,61.35,52.04,62.11,54.36,53.95
deepseek-coder-6.7b-instruct,0.73,0.39,-,37.00,45.96,48.79,44.10,17.11
CodeLlama-7b-Instruct-hf,0.28,0.03,-,4.05,3.15,3.42,2.31,2.11
o1-mini,0.76,0.31,-,41.62,25.62,32.89,25.90,23.16
glm-4-flash,0.75,0.32,-,33.04,39.11,36.05,28.72,17.89
Qwen2.5-Coder-1.5B-Instruct,0.77,0.25,-,26.94,28.96,26.74,26.15,18.32
gpt-4o-2024-05-13,0.96,0.70,-,77.30,74.63,74.21,71.79,65.48
deepseek-coder-33b-instruct,0.92,0.62,-,66.58,62.63,63.16,64.87,57.59
gpt-4o-mini,0.90,0.56,-,59.46,58.89,60.26,55.90,56.79
claude-3-5-sonnet-20240620,0.87,0.53,-,54.59,49.11,62.37,49.49,55.39
CodeLlama-13b-Instruct-hf,0.62,0.13,-,14.05,15.07,12.53,17.95,6.84
deepseek-coder-1.3b-instruct,0.71,0.17,-,16.22,19.44,17.63,21.28,10.53
glm-4-9b-chat,0.01,0.26,-,23.65,30.78,27.11,26.67,18.42
Qwen2-7B-Instruct,0.01,0.22,-,30.41,27.63,32.26,27.18,9.21
Qwen2-1.5B-Instruct,0.01,0.03,-,4.86,2.63,3.68,3.33,6.00
Qwen2.5-Coder-7B-Instruct,0.01,0.52,-,55.34,57.44,49.26,45.38,45.36
Qwen2.5-7B-Instruct,0.01,0.47,-,49.80,48.40,50.79,49.23,40.15
Yi-1.5-9B-Chat-16K,0.01,0.42,-,40.70,48.34,42.11,46.41,35.64
gemma-2-9b-it,0.01,0.24,-,25.95,22.46,27.37,16.67,21.84
Meta-Llama-3.1-8B-Instruct,0.01,0.27,-,35.95,24.26,23.95,22.82,31.41
Meta-Llama-3-8B-Instruct,0.01,0.02,-,2.97,1.67,2.11,1.28,1.96
CodeLlama-34b-Instruct-hf,0.10,0.01,-,1.35,1.11,2.63,2.05,1.58
starcoder2-3b,0.01,0.00,-,0.00,0.00,0.00,0.00,0.00
gpt-4-turbo-ca,0.01,0.00,-,0.00,0.00,0.00,0.00,0.00
starcoder2-7b,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00
