Model,Pass@1,Average CR,VLM,F1,F2,F3,F4,F5,Pass@1 (Human),Pass@1 (DL),Pass@1 (CSV),Avg. CR (Human),Avg. CR (DL),Avg. CR (CSV)
o1-mini,13.45,15.43,1.75,53.75,0.00,45.50,46.25,25.79,12.00,0.00,21.50,11.09,16.65,21.00
gpt-4o-2024-05-13,19.82,17.89,2.10,71.79,0.00,54.50,70.00,33.95,31.60,0.00,14.00,20.28,17.15,14.86
gpt-4o-mini,12.73,17.35,1.65,62.86,15.00,50.50,69.38,43.68,18.40,0.00,11.00,18.64,13.50,17.31
gpt-4-turbo,17.27,17.36,1.85,65.18,10.00,44.50,78.12,41.05,24.00,0.00,17.00,19.07,11.39,17.71
claude-3-5-sonnet-20240620,8.00,11.12,1.44,32.32,0.00,36.00,63.12,17.63,10.80,0.00,8.50,12.94,5.68,11.07
glm-4-flash,9.82,7.43,1.51,47.14,0.00,22.00,24.38,3.95,18.40,0.00,4.00,10.69,2.04,5.33
Meta-Llama-3.1-8B-Instruct,10.00,7.72,1.55,45.18,0.00,16.00,23.12,8.95,18.40,0.00,4.50,9.33,4.89,6.76
Meta-Llama-3-8B-Instruct,1.64,1.43,1.93,7.86,0.00,4.50,6.88,0.00,2.40,0.00,1.50,1.88,0.00,1.45
gemma-2-9b-it,5.64,5.51,1.63,26.79,0.00,13.00,22.50,2.89,10.40,0.00,2.50,7.54,2.50,4.05
glm-4-9b-chat,10.55,9.96,1.56,55.36,0.00,31.00,28.75,21.32,18.40,0.00,6.00,10.21,2.05,13.28
Qwen2.5-7B-Instruct,11.64,10.11,1.44,55.36,0.00,36.50,33.12,18.42,18.80,0.00,8.50,10.72,1.08,13.46
Qwen2-7B-Instruct,6.91,5.90,1.68,32.50,0.00,18.00,21.88,2.37,11.60,0.00,4.50,7.93,0.60,5.49
Qwen2-1.5B-Instruct,1.82,1.60,1.54,3.57,0.00,2.00,13.12,0.79,3.20,0.00,1.00,2.64,0.25,0.75
Yi-1.5-9B-Chat-16K,6.18,4.25,1.82,30.36,0.00,16.00,8.75,3.95,12.40,0.00,1.50,6.08,0.37,3.45
CodeLlama-34b-Instruct-hf,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00
CodeLlama-13b-Instruct-hf,0.73,0.50,4.00,4.46,0.00,0.00,3.75,0.00,1.60,0.00,0.00,0.83,0.19,0.19
CodeLlama-7b-Instruct-hf,0.55,0.27,0.00,1.96,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.49,0.05,0.06
starcoder2-15b,0.18,0.20,2.33,0.54,0.00,0.00,0.62,0.00,0.40,0.00,0.00,0.32,0.23,0.00
starcoder2-7b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
starcoder2-3b,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
deepseek-coder-33b-instruct,12.55,13.53,1.73,62.86,0.00,43.00,51.88,21.32,22.80,0.00,6.00,15.47,9.27,12.76
deepseek-coder-6.7b-instruct,12.55,13.56,1.30,63.21,0.00,39.00,53.75,21.05,22.00,0.00,7.00,14.63,11.48,13.01
deepseek-coder-1.3b-instruct,0.73,0.61,3.33,3.39,0.00,0.00,1.25,0.00,1.60,0.00,0.00,0.83,0.00,0.57
Qwen2.5-Coder-7B-Instruct,6.18,7.87,1.35,40.18,0.00,27.50,33.75,4.47,11.20,0.00,3.00,9.64,2.87,7.68
Qwen2.5-Coder-1.5B-Instruct,6.18,7.52,1.11,38.57,0.00,15.50,40.00,10.53,12.80,0.00,1.00,9.74,4.86,5.61
Meta-Llama-3.1-70B-Instruct,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
